"Triebzugnummer
Name",zugeordnete Triebköpfe,Aktuelle Konfiguration,"Abnahme
erstes Redesign
zweites Redesign
Ausmusterung","Auslands­zulassungen
ETCS",Umbauten oder Umrüstungen,"Bemerkung0
Unfälle"
"Tz 119
Osnabrück
(seit 19.06.2003)","401 019
401 519","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2024)","22.02.1991
30.11.2007
24.05.2024",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)",
"Tz 120
Lüneburg
(seit 13.08.2003)","401 051
401 520",ausgemustert,"17.01.1991
08.09.2005",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015)","In der Nacht vom 22. zum 23. November 2001 brannte im Hauptbahnhof Offenbach der Triebkopf 401 020 aus und musste ausgemustert werden. Der angrenzende Mittelwagen 802 806 wurde beschädigt. Der Triebkopf diente fortan als Ersatzteilspender, Überreste standen im Frühjahr 2016 noch immer im AW Nürnberg auf einem Werksnebengleis abgestellt. Der restliche Teil vom Triebzug 120 wurde mit einem Reserve-Triebkopf bis ins Jahr 2024 eingesetzt. Nach dem Durchlaufen des LDV-Programms, wurde anstelle des Tz 120 der Tz 109 neu gebildet, da von diesem noch beide Triebköpfe erhalten sind."
Tz 151,"401 051
401 551",ausgemustert,"01.05.1991
zum 30. Juni 1998 ausgemustert",–ohne–,,"→ Hauptartikel: ICE-Unfall von Eschede
 Am Vormittag des 3. Juni 1998 entgleiste der ICE-1-Triebzug 151 auf der Bahnstrecke Hannover–Hamburg bei Eschede, etwa 60 Kilometer nördlich von Hannover. Der Triebzug war als ICE 884 „Wilhelm Conrad Röntgen“ auf dem Weg von München nach Hamburg, als der erste Wagen infolge eines gebrochenen Radreifens eine Weiche aufdrückte. Der Triebzug 151 wurde bei dem Unglück weitgehend zerstört. Lediglich der damals nahezu unbeschädigte Triebkopf 401 051 ist weiterhin im Einsatz. Der hintere Triebkopf wurde für den Wiederaufbau des Triebkopfes 401 573 verwendet."
"Tz 152
Hanau
(seit 05.07.2004)","401 052
401 552","LDV-Kurzzug
(9 Wagen)
Kurzzug
(9 Mittelwagen, von Dezember 2021 bis Juli 2022)
Langzug
(12 Mittelwagen, von 2006 bis 2022)","01.06.1991
21.09.2006
21.09.2022",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",
"Tz 153
Neumünster
(seit 20.08.2003)","401 053
401 553","LDV-Kurzzug
(9 Mittelwagen)
Kurzzug
(9 Mittelwagen, von Mai 2022 bis März 2025)
Langzug
(12 Mittelwagen, von 2006 bis 2022)","10.07.1991
13.10.2006
12.03.2025",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)","Im April 2006 prallte der Triebkopf 401 553 auf der Riedbahn bei Riedstadt bei einer Geschwindigkeit von etwa 160 km/h mit einem Pkw zusammen. Der Triebkopf entgleiste und kam nach etwa 800 m zum Stehen. Ein Betrunkener war mit dem Auto auf dem stillgelegten und geschlossenen Bahnübergang liegengeblieben. Im Zug wurde niemand verletzt. Der Fahrer des PKW hatte das Fahrzeug kurz vor dem Zusammenstoß verlassen, war anschließend geflüchtet, konnte jedoch später gefasst werden."
"Tz 154
Flensburg
(seit 26.09.2008)","401 054
401 554","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2008 bis 2021)","18.04.1991
26.09.2008
17.12.2021",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",Am 04.11.2013 rutschte der ICE im Stuttgarter Hbf auf den Prellbock auf.
"Tz 155
Rosenheim
(seit 28.04.2003)","401 055g
401 555g","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2020)","02.06.1991
19.02.2007
30.04.2020",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015, nur 401 555)
IGBT-Stromrichter (seit 2023, 401 055)",
"Tz 156
Heppenheim/Bergstraße
(seit 22.08.2008)","401 056
401 556","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2008 bis 2021)","07.05.1991
22.08.2008
27.08.2021",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",
"Tz 157
Landshut
(seit 07.07.2007)","401 057
401 557","LDV-Kurzzug
(9 Mittelwagen)
Kurzzug
(9 Mittelwagen, von Juni 2021 bis April 2022)
Langzug
(12 Mittelwagen, von 2008 bis 2021)","02.06.1991
05.12.2008
13.05.2022",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",
"Tz 158
Gütersloh
(seit 14.07.2004)","401 058
401 558","Kurzzug
(9 Mittelwagen, seit Juni 2022)
Langzug
(12 Mittelwagen, von 2006 bis 2022)","02.06.1991
20.01.2006",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",
"Tz 159
Bad Oldesloe
(seit 03.03.2004)","401 059
401 559","LDV-Kurzzug
(9 Mittelwagen)
Kurzzug
(9 Mittelwagen, von September 2021 bis Februar 2023)
Langzug
(12 Mittelwagen, von 2006 bis 2023)","02.06.1991
27.10.2006
03.02.2023",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",Am 5. Juni 2004 entgleiste der Triebkopf 401 059 im Hauptbahnhof München bei einer Rangierfahrt auf einer Weiche.
"Tz 160
Mülheim an der Ruhr
(seit 28.10.2008)","401 060
401 560","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2024)","01.05.1991
21.09.2007
23.08.2024",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2018)",Die Triebköpfe 401 060 und 560 sind seit Ende 2018 mit neuen IGBT-Stromrichtern als Erprobungsträger ausgestattet und waren an DB Systemtechnik für Erprobungsfahrten vermietet. Der Triebzug verkehrte deshalb zwischen 2018 und 2020 mit anderen Triebköpfen aus dem Reservebestand.
"Tz 161
Bebra
(seit 19.07.2003)","401 061
401 561","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2008 bis 2024)","01.06.1991
23.01.2008
21.06.2024",ETCS Baseline 3.4.0 (seit 2017),"Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2015, nur 401 061)
IGBT-Stromrichter (seit 2023, 401 561)",Am 6. September 2015 verkehrte ein Sonderzug ICE 2938 mit Flüchtlingen von München nach Eisenhüttenstadt. Dieser war aus dem Triebzug 161 „Bebra“ gebildet. Es war zudem die erste Fahrt eines ICE1 nach Eisenhüttenstadt überhaupt.
"Tz 162
Geisenheim/Rheingau
(seit 10.11.2005)","401 062
401 562","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2006 bis 2023)","10.07.1991
08.09.2006
11.10.2023","Österreich (1998 bis 2008)
ETCS Baseline 3.4.0 (seit 2017)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",
Tz 163,"401 063
401 563","LDV-Kurzzug
(9 Mittelwagen)
Langzug
(12 Mittelwagen, von 2007 bis 2025)","01.06.1991
26.10.2007
12.06.2025","Österreich (1998 bis 2008)
ETCS Baseline 3.4.0 (seit 2017)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",
Tz 164,"401 064
401 564","Kurzzug
(9 Mittelwagen, seit August 2022)
Langzug
(12 Mittelwagen, von 2006 bis 2022)","10.10.1991
30.06.2006","Österreich (1998 bis 2008)
ETCS Baseline 3.4.0 (seit 2017)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)","Am 4. Februar 2018 gab es im Triebkopf 401 064 eine Rauchentwicklung und 600 Personen mussten im Bahnhof Adelschlag aus dem ICE 582 evakuiert werden.
Als Ersatz für die Stammtriebköpfe 064 und 564 waren von Februar 2018 bis Mai 2018 die beiden ICE 2-Reservetriebköpfe in den Triebzug eingereiht."
Tz 165,"401 065
401 565","Kurzzug
(9 Mittelwagen, seit Mai 2024)
Langzug
(12 Mittelwagen, von 2006 bis 2024)","20.09.1991
31.03.2006","Österreich (1998 bis 2008)
ETCS Baseline 3.4.0 (seit 2017)","Ausstattung mit WLAN-HotSpots (railnet)
IGBT-Stromrichter (seit 2023)",
